,forward_returns,market_forward_excess_returns,mean_importance
M4,0.60772382734808,0.6887214415053561,0.648222634426718
P6,0.6367103410625791,0.6510838469633603,0.6438970940129697
M3,0.5049726131826399,0.4247604355058732,0.46486652434425657
P3,0.33808746939808865,0.32116917271411105,0.32962832105609985
P4,0.33407692584164184,0.280767685033136,0.3074223054373889
E19,0.3150592158764795,0.29584152175357614,0.30545036881502785
P13,0.2995227263555539,0.27397220438130954,0.2867474653684317
I2,0.2836207287883684,0.2712523624442125,0.2774365456162905
S8,0.33967077617482544,0.16532999173085236,0.2525003839528389
P7,0.24021248635020798,0.22652894571538784,0.2333707160327979
V13,0.3003234452840699,0.1649782102802262,0.23265082778214805
S12,0.2319779462172272,0.23157973709888383,0.2317788416580555
S6,0.24049136800172832,0.20997821436155883,0.22523479118164358
E12,0.20383699882265405,0.234840910484739,0.21933895465369652
E4,0.18081770986112963,0.2284617023643385,0.20463970611273408
S7,0.1757173911309817,0.2274002882568189,0.20155883969390032
S5,0.14979799560790255,0.2061374517676644,0.17796772368778346
P12,0.19257402144984234,0.16198110218115983,0.17727756181550108
M15,0.1790986100008012,0.17476459585767082,0.17693160292923601
V7,0.13461871829181687,0.19825573971944252,0.16643722900562968
V3,0.1884369771144645,0.14138374901256892,0.1649103630635167
P11,0.16929696514621004,0.1496483523068124,0.15947265872651123
E14,0.16646047378133438,0.13620492126990527,0.15133269752561984
E16,0.14844712645698577,0.1501733758784737,0.14931025116772972
P9,0.16440111085860418,0.1312218242223672,0.14781146754048569
I1,0.18403915164811332,0.10983187609853078,0.14693551387332204
I7,0.17775962624095584,0.10634648237805679,0.14205305430950632
M12,0.17750796997038576,0.10599167253429799,0.14174982125234187
E10,0.14114852851304985,0.1279959438275343,0.13457223617029207
M11,0.1072581874933699,0.15995899181499632,0.1336085896541831
M8,0.13172598147204026,0.13381430716400225,0.13277014431802125
E6,0.11369584004132365,0.13385403567890547,0.12377493786011456
E13,0.1292006990041614,0.1121091168721471,0.12065490793815425
V4,0.10349219724302694,0.12760050056724226,0.1155463489051346
P5,0.14579698294751012,0.0819997124488429,0.1138983476981765
M7,0.1264341014541788,0.10005487154318371,0.11324448649868125
I8,0.09519484065755983,0.13072344549269152,0.11295914307512567
S4,0.12487375717994346,0.09827491308717817,0.11157433513356083
M2,0.1062055046786559,0.11658123591944936,0.11139337029905264
V5,0.11934249879641222,0.09815270484484014,0.10874760182062618
V2,0.10924770207427607,0.10718819021323966,0.10821794614375788
P1,0.10866067948760903,0.1029441578972362,0.10580241869242261
E11,0.10973797441503064,0.09611495498622692,0.10292646470062877
I3,0.10738432400534781,0.09215192281434927,0.09976812340984853
E8,0.08686194817302563,0.10943453667868851,0.09814824242585707
M18,0.11067418767188404,0.07891846025295499,0.09479632396241952
S1,0.08766824092951304,0.09429600207452099,0.09098212150201701
I6,0.06877078452045804,0.1032029551312188,0.08598686982583842
P10,0.05134404592629377,0.11775218430501833,0.08454811511565605
S10,0.07024459362048338,0.09817073860853848,0.08420766611451093
E20,0.0874820216755604,0.07914320989823477,0.08331261578689758
M6,0.08520856173725537,0.06919314522640009,0.07720085348182773
I4,0.06708695313916982,0.08341426680912789,0.07525060997414885
S11,0.07457536028327001,0.07261148994070878,0.0735934251119894
E1,0.07008330024579155,0.07494231871650088,0.07251280948114622
S9,0.07276170291331234,0.07027472796808365,0.071518215440698
P8,0.07885953709778264,0.06050517536665784,0.06968235623222024
E17,0.06464414993333459,0.07311385742673743,0.06887900368003601
S2,0.026115067897562644,0.11139387467727228,0.06875447128741746
E5,0.07344568761861459,0.061194093196389604,0.0673198904075021
M17,0.06015570864289074,0.07438018891888822,0.06726794878088949
P2,0.06921756917295314,0.06369719538396929,0.06645738227846121
M10,0.05156997760184447,0.08133229107624272,0.0664511343390436
V6,0.06873196633975724,0.04988337263792489,0.059307669488841065
E3,0.06007379622397846,0.05631556849267899,0.058194682358328725
E18,0.055198814494315546,0.05932412424203686,0.05726146936817621
I9,0.051829879457955454,0.05490133814511231,0.05336560880153388
D8,0.05682825886006332,0.04775738844604257,0.05229282365305295
E9,0.04287872901697564,0.05359412334765145,0.048236426182313545
E15,0.0466802828144303,0.04909637194973721,0.047888327382083755
date_id,0.04412260321114412,0.050978458828151905,0.04755053101964801
E2,0.04164164786302552,0.041932730616076615,0.04178718923955107
D1,0.04557978606400212,0.037575776522795055,0.04157778129339859
V1,0.02856005329961239,0.0530312257636964,0.040795639531654396
I5,0.04835458575357029,0.030337133640555514,0.039345859697062904
D4,0.03746979294584948,0.03869161113723323,0.038080702041541355
D5,0.041283539197708934,0.027723324279321473,0.0345034317385152
M5,0.006036700075364406,0.06276103470259821,0.034398867388981305
D6,0.030389485105416628,0.03796557741577512,0.034177531260595875
D7,0.03868383373796601,0.026125984235093633,0.03240490898652982
V8,0.015265257992801666,0.023948487472016486,0.019606872732409075
D2,0.015091498798398023,0.018940076330180695,0.01701578756428936
V12,0.015251968505163945,0.009827909705188924,0.012539939105176433
M13,0.004475339527362797,0.014836370964442435,0.009655855245902616
D9,0.005218725558677154,0.010616573194938814,0.007917649376807983
V11,0.0,0.011265022855705334,0.005632511427852667
M14,0.002428808799820551,0.0025076545870908987,0.0024682316934557247
M9,-0.00147754972334276,0.004771958063793602,0.0016472041702254212
E7,-0.009096318979800533,0.011396818712099464,0.0011502498661494654
D3,0.0,0.0011793342618985731,0.0005896671309492866
M16,6.901662906188347e-05,-0.0013687774761721586,-0.0006498804235551376
V10,-0.030848040562643227,-0.018842488879407312,-0.02484526472102527
M1,-0.1160966801591739,-0.02713274343810367,-0.07161471179863879
V9,-0.09558117415361662,-0.07117886714286525,-0.08338002064824093
S3,-0.2798831897746336,-0.2758569950398711,-0.27787009240725236
